match_id,season,team1,team2,venue,city,toss_winner,toss_decision,team1_matches_played,team1_wins,team1_win_rate,team1_toss_win_rate,team2_matches_played,team2_wins,team2_win_rate,team2_toss_win_rate,h2h_matches_played,h2h_team1_win_rate,is_team1_toss_winner,team1_win
392216,2009,Deccan Chargers,Kings XI Punjab,De Beers Diamond Oval,Kimberley,Kings XI Punjab,field,16,9,0.5625,0.625,14,7,0.5,0.42857142857142855,10,0.3,0,0
392219,2009,Delhi Daredevils,Kolkata Knight Riders,New Wanderers Stadium,Johannesburg,Delhi Daredevils,field,15,10,0.6666666666666666,0.6,13,3,0.23076923076923078,0.5384615384615384,21,0.38095238095238093,1,1
392218,2009,Royal Challengers Bangalore,Mumbai Indians,St George's Park,Port Elizabeth,Mumbai Indians,bat,16,9,0.5625,0.5,13,5,0.38461538461538464,0.46153846153846156,32,0.40625,0,0
392220,2009,Deccan Chargers,Rajasthan Royals,De Beers Diamond Oval,Kimberley,Deccan Chargers,bat,16,9,0.5625,0.625,13,5,0.38461538461538464,0.3076923076923077,9,0.2222222222222222,1,1
392222,2009,Kings XI Punjab,Mumbai Indians,SuperSport Park,Centurion,Kings XI Punjab,bat,14,7,0.5,0.42857142857142855,13,5,0.38461538461538464,0.46153846153846156,26,0.4230769230769231,1,0
392221,2009,Royal Challengers Bangalore,Kolkata Knight Riders,SuperSport Park,Centurion,Royal Challengers Bangalore,field,16,9,0.5625,0.5,13,3,0.23076923076923078,0.5384615384615384,32,0.4375,1,1
392223,2009,Deccan Chargers,Delhi Daredevils,Kingsmead,Durban,Deccan Chargers,field,16,9,0.5625,0.625,15,10,0.6666666666666666,0.6,11,0.36363636363636365,1,0
392225,2009,Mumbai Indians,Rajasthan Royals,Kingsmead,Durban,Rajasthan Royals,bat,13,5,0.38461538461538464,0.46153846153846156,13,5,0.38461538461538464,0.3076923076923077,29,0.5172413793103449,0,0
392224,2009,Royal Challengers Bangalore,Chennai Super Kings,Kingsmead,Durban,Chennai Super Kings,bat,16,9,0.5625,0.5,14,8,0.5714285714285714,0.5,30,0.3333333333333333,0,1
392226,2009,Delhi Daredevils,Kings XI Punjab,OUTsurance Oval,Bloemfontein,Kings XI Punjab,field,15,10,0.6666666666666666,0.6,14,7,0.5,0.42857142857142855,22,0.4090909090909091,0,0
392227,2009,Chennai Super Kings,Mumbai Indians,St George's Park,Port Elizabeth,Mumbai Indians,bat,14,8,0.5714285714285714,0.5,13,5,0.38461538461538464,0.46153846153846156,37,0.4594594594594595,0,1
392228,2009,Deccan Chargers,Kolkata Knight Riders,New Wanderers Stadium,Johannesburg,Deccan Chargers,field,16,9,0.5625,0.625,13,3,0.23076923076923078,0.5384615384615384,9,0.2222222222222222,1,1
392230,2009,Delhi Daredevils,Rajasthan Royals,OUTsurance Oval,Bloemfontein,Delhi Daredevils,bat,15,10,0.6666666666666666,0.6,13,5,0.38461538461538464,0.3076923076923077,18,0.3888888888888889,1,1
392229,2009,Deccan Chargers,Kings XI Punjab,New Wanderers Stadium,Johannesburg,Deccan Chargers,field,16,9,0.5625,0.625,14,7,0.5,0.42857142857142855,10,0.3,1,0
392231,2009,Chennai Super Kings,Kolkata Knight Riders,SuperSport Park,Centurion,Chennai Super Kings,bat,14,8,0.5714285714285714,0.5,13,3,0.23076923076923078,0.5384615384615384,29,0.6551724137931034,1,0
392232,2009,Royal Challengers Bangalore,Delhi Daredevils,New Wanderers Stadium,Johannesburg,Delhi Daredevils,bat,16,9,0.5625,0.5,15,10,0.6666666666666666,0.6,21,0.6190476190476191,0,1
392233,2009,Kolkata Knight Riders,Rajasthan Royals,Kingsmead,Durban,Kolkata Knight Riders,field,13,3,0.23076923076923078,0.5384615384615384,13,5,0.38461538461538464,0.3076923076923077,28,0.5,1,1
392234,2009,Chennai Super Kings,Kings XI Punjab,Kingsmead,Durban,Chennai Super Kings,bat,14,8,0.5714285714285714,0.5,14,7,0.5,0.42857142857142855,23,0.6086956521739131,1,1
392236,2009,Royal Challengers Bangalore,Deccan Chargers,SuperSport Park,Centurion,Royal Challengers Bangalore,bat,16,9,0.5625,0.5,16,9,0.5625,0.625,11,0.45454545454545453,1,1
392235,2009,Delhi Daredevils,Mumbai Indians,SuperSport Park,Centurion,Delhi Daredevils,field,15,10,0.6666666666666666,0.6,13,5,0.38461538461538464,0.46153846153846156,22,0.5,1,1
392237,2009,Delhi Daredevils,Deccan Chargers,SuperSport Park,Centurion,Deccan Chargers,field,15,10,0.6666666666666666,0.6,16,9,0.5625,0.625,11,0.6363636363636364,0,0
392238,2009,Royal Challengers Bangalore,Chennai Super Kings,New Wanderers Stadium,Johannesburg,Royal Challengers Bangalore,field,16,9,0.5625,0.5,14,8,0.5714285714285714,0.5,30,0.3333333333333333,1,1
392239,2009,Royal Challengers Bangalore,Deccan Chargers,New Wanderers Stadium,Johannesburg,Royal Challengers Bangalore,field,16,9,0.5625,0.5,16,9,0.5625,0.625,11,0.45454545454545453,1,0
419106,2010,Deccan Chargers,Kolkata Knight Riders,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,field,16,8,0.5,0.5625,14,7,0.5,0.5,9,0.2222222222222222,1,0
419108,2010,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Delhi Daredevils,field,14,3,0.21428571428571427,0.35714285714285715,14,7,0.5,0.5714285714285714,22,0.5909090909090909,0,0
